         262244 function calls (260113 primitive calls) in 0.402 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       57    0.000    0.000    0.002    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\text.py:194(update)
     12/3    0.000    0.000    0.020    0.007 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:394(__init__)
      474    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:281(convert_yunits)
        3    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      129    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\text.py:1249(set_verticalalignment)
   120/21    0.000    0.000    0.016    0.001 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axes\_base.py:912(get_xaxis_transform)
     1446    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 {method 'addConstraint' of 'kiwisolver.Solver' objects}
      165    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:727(set_figure)
      597    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      159    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\colors.py:221(is_color_like)
       24    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axes\_base.py:2546(_process_unit_info)
        3    0.000    0.000    0.239    0.080 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\gui\stretch_builder.py:356(_show_histogram)
      156    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\units.py:56(_is_natively_supported)
      207    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:242(x0)
      159    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\colors.py:240(_check_color_like)
       69    0.000    0.000    0.002    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\text.py:1306(set_fontproperties)
